"x","y","z"
0.0,0.0,0.0
1.0,0.0,0.0
2.0,0.0,0.0
3.0,0.0,0.0
4.0,0.0,0.0
5.0,0.0,0.0
6.0,0.0,0.0
7.0,0.0,0.0
8.0,0.0,0.0
9.0,0.0,0.0
0.0,10.0,0.0
1.0,10.0,0.0
2.0,10.0,0.0
3.0,10.0,0.0
4.0,10.0,0.0
5.0,10.0,0.0
6.0,10.0,0.0
7.0,10.0,0.0
8.0,10.0,0.0
9.0,10.0,0.0
0.0,20.0,0.0
1.0,20.0,0.0
2.0,20.0,0.0
3.0,20.0,0.0
4.0,20.0,0.0
5.0,20.0,0.0
6.0,20.0,0.0
7.0,20.0,0.0
8.0,20.0,0.0
9.0,20.0,0.0
0.0,30.0,0.0
1.0,30.0,0.0
2.0,30.0,0.0
3.0,30.0,0.0
4.0,30.0,0.0
5.0,30.0,0.0
6.0,30.0,0.0
7.0,30.0,0.0
8.0,30.0,0.0
9.0,30.0,0.0
0.0,40.0,0.0
1.0,40.0,0.0
2.0,40.0,0.0
3.0,40.0,0.0
4.0,40.0,0.0
5.0,40.0,0.0
6.0,40.0,0.0
7.0,40.0,0.0
8.0,40.0,0.0
9.0,40.0,0.0
0.0,50.0,0.0
1.0,50.0,0.0
2.0,50.0,0.0
3.0,50.0,0.0
4.0,50.0,0.0
5.0,50.0,0.0
6.0,50.0,0.0
7.0,50.0,0.0
8.0,50.0,0.0
9.0,50.0,0.0
0.0,60.0,0.0
1.0,60.0,0.0
2.0,60.0,0.0
3.0,60.0,0.0
4.0,60.0,0.0
5.0,60.0,0.0
6.0,60.0,0.0
7.0,60.0,0.0
8.0,60.0,0.0
9.0,60.0,0.0
0.0,70.0,0.0
1.0,70.0,0.0
2.0,70.0,0.0
3.0,70.0,0.0
4.0,70.0,0.0
5.0,70.0,0.0
6.0,70.0,0.0
7.0,70.0,0.0
8.0,70.0,0.0
9.0,70.0,0.0
0.0,80.0,0.0
1.0,80.0,0.0
2.0,80.0,0.0
3.0,80.0,0.0
4.0,80.0,0.0
5.0,80.0,0.0
6.0,80.0,0.0
7.0,80.0,0.0
8.0,80.0,0.0
9.0,80.0,0.0
0.0,90.0,0.0
1.0,90.0,0.0
2.0,90.0,0.0
3.0,90.0,0.0
4.0,90.0,0.0
5.0,90.0,0.0
6.0,90.0,0.0
7.0,90.0,0.0
8.0,90.0,0.0
9.0,90.0,0.0
0.0,0.0,100.0
1.0,0.0,100.0
2.0,0.0,100.0
3.0,0.0,100.0
4.0,0.0,100.0
5.0,0.0,100.0
6.0,0.0,100.0
7.0,0.0,100.0
8.0,0.0,100.0
9.0,0.0,100.0
0.0,10.0,100.0
1.0,10.0,100.0
2.0,10.0,100.0
3.0,10.0,100.0
4.0,10.0,100.0
5.0,10.0,100.0
6.0,10.0,100.0
7.0,10.0,100.0
8.0,10.0,100.0
9.0,10.0,100.0
0.0,20.0,100.0
1.0,20.0,100.0
2.0,20.0,100.0
3.0,20.0,100.0
4.0,20.0,100.0
5.0,20.0,100.0
6.0,20.0,100.0
7.0,20.0,100.0
8.0,20.0,100.0
9.0,20.0,100.0
0.0,30.0,100.0
1.0,30.0,100.0
2.0,30.0,100.0
3.0,30.0,100.0
4.0,30.0,100.0
5.0,30.0,100.0
6.0,30.0,100.0
7.0,30.0,100.0
8.0,30.0,100.0
9.0,30.0,100.0
0.0,40.0,100.0
1.0,40.0,100.0
2.0,40.0,100.0
3.0,40.0,100.0
4.0,40.0,100.0
5.0,40.0,100.0
6.0,40.0,100.0
7.0,40.0,100.0
8.0,40.0,100.0
9.0,40.0,100.0
0.0,50.0,100.0
1.0,50.0,100.0
2.0,50.0,100.0
3.0,50.0,100.0
4.0,50.0,100.0
5.0,50.0,100.0
6.0,50.0,100.0
7.0,50.0,100.0
8.0,50.0,100.0
9.0,50.0,100.0
0.0,60.0,100.0
1.0,60.0,100.0
2.0,60.0,100.0
3.0,60.0,100.0
4.0,60.0,100.0
5.0,60.0,100.0
6.0,60.0,100.0
7.0,60.0,100.0
8.0,60.0,100.0
9.0,60.0,100.0
0.0,70.0,100.0
1.0,70.0,100.0
2.0,70.0,100.0
3.0,70.0,100.0
4.0,70.0,100.0
5.0,70.0,100.0
6.0,70.0,100.0
7.0,70.0,100.0
8.0,70.0,100.0
9.0,70.0,100.0
0.0,80.0,100.0
1.0,80.0,100.0
2.0,80.0,100.0
3.0,80.0,100.0
4.0,80.0,100.0
5.0,80.0,100.0
6.0,80.0,100.0
7.0,80.0,100.0
8.0,80.0,100.0
9.0,80.0,100.0
0.0,90.0,100.0
1.0,90.0,100.0
2.0,90.0,100.0
3.0,90.0,100.0
4.0,90.0,100.0
5.0,90.0,100.0
6.0,90.0,100.0
7.0,90.0,100.0
8.0,90.0,100.0
9.0,90.0,100.0
0.0,0.0,200.0
1.0,0.0,200.0
2.0,0.0,200.0
3.0,0.0,200.0
4.0,0.0,200.0
5.0,0.0,200.0
6.0,0.0,200.0
7.0,0.0,200.0
8.0,0.0,200.0
9.0,0.0,200.0
0.0,10.0,200.0
1.0,10.0,200.0
2.0,10.0,200.0
3.0,10.0,200.0
4.0,10.0,200.0
5.0,10.0,200.0
6.0,10.0,200.0
7.0,10.0,200.0
8.0,10.0,200.0
9.0,10.0,200.0
0.0,20.0,200.0
1.0,20.0,200.0
2.0,20.0,200.0
3.0,20.0,200.0
4.0,20.0,200.0
5.0,20.0,200.0
6.0,20.0,200.0
7.0,20.0,200.0
8.0,20.0,200.0
9.0,20.0,200.0
0.0,30.0,200.0
1.0,30.0,200.0
2.0,30.0,200.0
3.0,30.0,200.0
4.0,30.0,200.0
5.0,30.0,200.0
6.0,30.0,200.0
7.0,30.0,200.0
8.0,30.0,200.0
9.0,30.0,200.0
0.0,40.0,200.0
1.0,40.0,200.0
2.0,40.0,200.0
3.0,40.0,200.0
4.0,40.0,200.0
5.0,40.0,200.0
6.0,40.0,200.0
7.0,40.0,200.0
8.0,40.0,200.0
9.0,40.0,200.0
0.0,50.0,200.0
1.0,50.0,200.0
2.0,50.0,200.0
3.0,50.0,200.0
4.0,50.0,200.0
5.0,50.0,200.0
6.0,50.0,200.0
7.0,50.0,200.0
8.0,50.0,200.0
9.0,50.0,200.0
0.0,60.0,200.0
1.0,60.0,200.0
2.0,60.0,200.0
3.0,60.0,200.0
4.0,60.0,200.0
5.0,60.0,200.0
6.0,60.0,200.0
7.0,60.0,200.0
8.0,60.0,200.0
9.0,60.0,200.0
0.0,70.0,200.0
1.0,70.0,200.0
2.0,70.0,200.0
3.0,70.0,200.0
4.0,70.0,200.0
5.0,70.0,200.0
6.0,70.0,200.0
7.0,70.0,200.0
8.0,70.0,200.0
9.0,70.0,200.0
0.0,80.0,200.0
1.0,80.0,200.0
2.0,80.0,200.0
3.0,80.0,200.0
4.0,80.0,200.0
5.0,80.0,200.0
6.0,80.0,200.0
7.0,80.0,200.0
8.0,80.0,200.0
9.0,80.0,200.0
0.0,90.0,200.0
1.0,90.0,200.0
2.0,90.0,200.0
3.0,90.0,200.0
4.0,90.0,200.0
5.0,90.0,200.0
6.0,90.0,200.0
7.0,90.0,200.0
8.0,90.0,200.0
9.0,90.0,200.0
0.0,0.0,300.0
1.0,0.0,300.0
2.0,0.0,300.0
3.0,0.0,300.0
4.0,0.0,300.0
5.0,0.0,300.0
6.0,0.0,300.0
7.0,0.0,300.0
8.0,0.0,300.0
9.0,0.0,300.0
0.0,10.0,300.0
1.0,10.0,300.0
2.0,10.0,300.0
3.0,10.0,300.0
4.0,10.0,300.0
5.0,10.0,300.0
6.0,10.0,300.0
7.0,10.0,300.0
8.0,10.0,300.0
9.0,10.0,300.0
0.0,20.0,300.0
1.0,20.0,300.0
2.0,20.0,300.0
3.0,20.0,300.0
4.0,20.0,300.0
5.0,20.0,300.0
6.0,20.0,300.0
7.0,20.0,300.0
8.0,20.0,300.0
9.0,20.0,300.0
0.0,30.0,300.0
1.0,30.0,300.0
2.0,30.0,300.0
3.0,30.0,300.0
4.0,30.0,300.0
5.0,30.0,300.0
6.0,30.0,300.0
7.0,30.0,300.0
8.0,30.0,300.0
9.0,30.0,300.0
0.0,40.0,300.0
1.0,40.0,300.0
2.0,40.0,300.0
3.0,40.0,300.0
4.0,40.0,300.0
5.0,40.0,300.0
6.0,40.0,300.0
7.0,40.0,300.0
8.0,40.0,300.0
9.0,40.0,300.0
0.0,50.0,300.0
1.0,50.0,300.0
2.0,50.0,300.0
3.0,50.0,300.0
4.0,50.0,300.0
5.0,50.0,300.0
6.0,50.0,300.0
7.0,50.0,300.0
8.0,50.0,300.0
9.0,50.0,300.0
0.0,60.0,300.0
1.0,60.0,300.0
2.0,60.0,300.0
3.0,60.0,300.0
4.0,60.0,300.0
5.0,60.0,300.0
6.0,60.0,300.0
7.0,60.0,300.0
8.0,60.0,300.0
9.0,60.0,300.0
0.0,70.0,300.0
1.0,70.0,300.0
2.0,70.0,300.0
3.0,70.0,300.0
4.0,70.0,300.0
5.0,70.0,300.0
6.0,70.0,300.0
7.0,70.0,300.0
8.0,70.0,300.0
9.0,70.0,300.0
0.0,80.0,300.0
