"x","y","z"
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
0,10,0
1,10,0
2,10,0
3,10,0
4,10,0
5,10,0
6,10,0
7,10,0
8,10,0
9,10,0
0,20,0
1,20,0
2,20,0
3,20,0
4,20,0
5,20,0
6,20,0
7,20,0
8,20,0
9,20,0
0,30,0
1,30,0
2,30,0
3,30,0
4,30,0
5,30,0
6,30,0
7,30,0
8,30,0
9,30,0
0,40,0
1,40,0
2,40,0
3,40,0
4,40,0
5,40,0
6,40,0
7,40,0
8,40,0
9,40,0
0,50,0
1,50,0
2,50,0
3,50,0
4,50,0
5,50,0
6,50,0
7,50,0
8,50,0
9,50,0
0,60,0
1,60,0
2,60,0
3,60,0
4,60,0
5,60,0
6,60,0
7,60,0
8,60,0
9,60,0
0,70,0
1,70,0
2,70,0
3,70,0
4,70,0
5,70,0
6,70,0
7,70,0
8,70,0
9,70,0
0,80,0
1,80,0
2,80,0
3,80,0
4,80,0
5,80,0
6,80,0
7,80,0
8,80,0
9,80,0
0,90,0
1,90,0
2,90,0
3,90,0
4,90,0
5,90,0
6,90,0
7,90,0
8,90,0
9,90,0
0,0,100
1,0,100
2,0,100
3,0,100
4,0,100
5,0,100
6,0,100
7,0,100
8,0,100
9,0,100
0,10,100
1,10,100
2,10,100
3,10,100
4,10,100
5,10,100
6,10,100
7,10,100
8,10,100
9,10,100
0,20,100
1,20,100
2,20,100
3,20,100
4,20,100
5,20,100
6,20,100
7,20,100
8,20,100
9,20,100
0,30,100
1,30,100
2,30,100
3,30,100
4,30,100
5,30,100
6,30,100
7,30,100
8,30,100
9,30,100
0,40,100
1,40,100
2,40,100
3,40,100
4,40,100
5,40,100
6,40,100
7,40,100
8,40,100
9,40,100
0,50,100
1,50,100
2,50,100
3,50,100
4,50,100
5,50,100
6,50,100
7,50,100
8,50,100
9,50,100
0,60,100
1,60,100
2,60,100
3,60,100
4,60,100
5,60,100
6,60,100
7,60,100
8,60,100
9,60,100
0,70,100
1,70,100
2,70,100
3,70,100
4,70,100
5,70,100
6,70,100
7,70,100
8,70,100
9,70,100
0,80,100
1,80,100
2,80,100
3,80,100
4,80,100
5,80,100
6,80,100
7,80,100
8,80,100
9,80,100
0,90,100
1,90,100
2,90,100
3,90,100
4,90,100
5,90,100
6,90,100
7,90,100
8,90,100
9,90,100
0,0,200
1,0,200
2,0,200
3,0,200
4,0,200
5,0,200
6,0,200
7,0,200
8,0,200
9,0,200
0,10,200
1,10,200
2,10,200
3,10,200
4,10,200
5,10,200
6,10,200
7,10,200
8,10,200
9,10,200
0,20,200
1,20,200
2,20,200
3,20,200
4,20,200
5,20,200
6,20,200
7,20,200
8,20,200
9,20,200
0,30,200
1,30,200
2,30,200
3,30,200
4,30,200
5,30,200
6,30,200
7,30,200
8,30,200
9,30,200
0,40,200
1,40,200
2,40,200
3,40,200
4,40,200
5,40,200
6,40,200
7,40,200
8,40,200
9,40,200
0,50,200
1,50,200
2,50,200
3,50,200
4,50,200
5,50,200
6,50,200
7,50,200
8,50,200
9,50,200
0,60,200
1,60,200
2,60,200
3,60,200
4,60,200
5,60,200
6,60,200
7,60,200
8,60,200
9,60,200
0,70,200
1,70,200
2,70,200
3,70,200
4,70,200
5,70,200
6,70,200
7,70,200
8,70,200
9,70,200
0,80,200
1,80,200
2,80,200
3,80,200
4,80,200
5,80,200
6,80,200
7,80,200
8,80,200
9,80,200
0,90,200
1,90,200
2,90,200
3,90,200
4,90,200
5,90,200
6,90,200
7,90,200
8,90,200
9,90,200
0,0,300
1,0,300
2,0,300
3,0,300
4,0,300
5,0,300
6,0,300
7,0,300
8,0,300
9,0,300
0,10,300
1,10,300
2,10,300
3,10,300
4,10,300
5,10,300
6,10,300
7,10,300
8,10,300
9,10,300
0,20,300
1,20,300
2,20,300
3,20,300
4,20,300
5,20,300
6,20,300
7,20,300
8,20,300
9,20,300
0,30,300
1,30,300
2,30,300
3,30,300
4,30,300
5,30,300
6,30,300
7,30,300
8,30,300
9,30,300
0,40,300
1,40,300
2,40,300
3,40,300
4,40,300
5,40,300
6,40,300
7,40,300
8,40,300
9,40,300
0,50,300
1,50,300
2,50,300
3,50,300
4,50,300
5,50,300
6,50,300
7,50,300
8,50,300
9,50,300
0,60,300
1,60,300
2,60,300
3,60,300
4,60,300
5,60,300
6,60,300
7,60,300
8,60,300
9,60,300
0,70,300
1,70,300
2,70,300
3,70,300
4,70,300
5,70,300
6,70,300
7,70,300
8,70,300
9,70,300
0,80,300
1,80,300
2,80,300
3,80,300
4,80,300
5,80,300
6,80,300
7,80,300
8,80,300
9,80,300
0,90,300
1,90,300
2,90,300
3,90,300
4,90,300
5,90,300
6,90,300
7,90,300
8,90,300
9,90,300
0,0,400
1,0,400
2,0,400
3,0,400
4,0,400
5,0,400
6,0,400
7,0,400
8,0,400
9,0,400
0,10,400
1,10,400
2,10,400
3,10,400
4,10,400
5,10,400
6,10,400
7,10,400
8,10,400
9,10,400
0,20,400
1,20,400
2,20,400
3,20,400
4,20,400
5,20,400
6,20,400
7,20,400
8,20,400
9,20,400
0,30,400
1,30,400
2,30,400
3,30,400
4,30,400
5,30,400
6,30,400
7,30,400
8,30,400
9,30,400
0,40,400
1,40,400
2,40,400
3,40,400
4,40,400
5,40,400
6,40,400
7,40,400
8,40,400
9,40,400
0,50,400
1,50,400
2,50,400
3,50,400
4,50,400
5,50,400
6,50,400
7,50,400
8,50,400
9,50,400
0,60,400
1,60,400
2,60,400
3,60,400
4,60,400
5,60,400
6,60,400
7,60,400
8,60,400
9,60,400
0,70,400
1,70,400
2,70,400
3,70,400
4,70,400
5,70,400
6,70,400
7,70,400
8,70,400
9,70,400
0,80,400
1,80,400
2,80,400
3,80,400
4,80,400
5,80,400
6,80,400
7,80,400
8,80,400
9,80,400
0,90,400
1,90,400
2,90,400
3,90,400
4,90,400
5,90,400
6,90,400
7,90,400
8,90,400
9,90,400
0,0,500
1,0,500
2,0,500
3,0,500
4,0,500
5,0,500
6,0,500
7,0,500
8,0,500
9,0,500
0,10,500
1,10,500
2,10,500
3,10,500
4,10,500
5,10,500
6,10,500
7,10,500
8,10,500
9,10,500
0,20,500
1,20,500
2,20,500
3,20,500
4,20,500
5,20,500
6,20,500
7,20,500
8,20,500
9,20,500
0,30,500
1,30,500
2,30,500
3,30,500
4,30,500
5,30,500
6,30,500
7,30,500
8,30,500
9,30,500
0,40,500
1,40,500
2,40,500
3,40,500
4,40,500
5,40,500
6,40,500
7,40,500
8,40,500
9,40,500
0,50,500
1,50,500
2,50,500
3,50,500
4,50,500
5,50,500
6,50,500
7,50,500
8,50,500
9,50,500
0,60,500
1,60,500
2,60,500
3,60,500
4,60,500
5,60,500
6,60,500
7,60,500
8,60,500
9,60,500
0,70,500
1,70,500
